model,features,total_rows,gold_relevant_rows,predicted_relevant_rows,accuracy,precision_macro,recall_macro,f1_macro,precision_relevant,recall_relevant,f1_relevant,model_path
ablation_high_precision_group,"agency, emotion, interjection",25459,16432,15523,0.736,0.715,0.723,0.718,0.813,0.768,0.79,model/feature_ablation/ablation_high_precision_group.joblib
ablation_high_recall_group,"position, possession, discourse_marker, negation, temporal",25459,16432,20304,0.65,0.599,0.57,0.565,0.685,0.847,0.758,model/feature_ablation/ablation_high_recall_group.joblib
